state,week_start,weekly_cases,pop2019,LandArea,Percentage_over_65,infection_rate,retail_and_recreation_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,population_density,government_response_index,containment_index,economic_support_index,stringency_index
South Dakota,2020-11-22T00:00:00Z,531435,880437,75811,0.163,60360.366499817705,-14.692307692307692,40.391304347826086,-17.258064516129032,11.613578504438669,41.41,43.75,25,43.52
South Dakota,2020-11-29T00:00:00Z,576529,880437,75811,0.163,65482.14125485412,-7.1645569620253164,23.958333333333332,-8.709677419354838,11.613578504438669,40.66,42.9,25,42.198571428571434
South Dakota,2020-12-06T00:00:00Z,616358,880437,75811,0.163,70005.91751596083,-6.475,30.458333333333332,-10.612903225806452,11.613578504438669,40.36,42.56,25,41.67
South Dakota,2020-12-13T00:00:00Z,647999,880437,75811,0.163,73599.70105754302,-4.525,16.91304347826087,-9.709677419354838,11.613578504438669,41.252857142857145,43.581428571428575,25,41.67
South Dakota,2020-12-20T00:00:00Z,671405,880437,75811,0.163,76258.15362144026,-14.948717948717949,21.666666666666668,-17.29032258064516,11.613578504438669,41.61,43.99,25,41.67
South Dakota,2020-12-27T00:00:00Z,690082,880437,75811,0.163,78379.48655042893,-3.7142857142857144,19.235294117647058,-15.217391304347826,11.613578504438669,43.43,44.276,37.5,41.67
Tennessee,2020-01-26T00:00:00Z,0,6867668,41235,0.16,0,NA,NA,NA,166.54948466108888,6.324285714285714,7.228571428571429,0,1.9857142857142855
Tennessee,2020-02-02T00:00:00Z,0,6867668,41235,0.16,0,NA,NA,NA,166.54948466108888,6.77,7.74,0,2.78
Tennessee,2020-02-09T00:00:00Z,0,6867668,41235,0.16,0,8.74390243902439,43.94117647058823,3.8275862068965516,166.54948466108888,9.005714285714285,10.290000000000001,0,6.744285714285715
Tennessee,2020-02-16T00:00:00Z,0,6867668,41235,0.16,0,2.0189003436426116,16.778688524590162,2.9302325581395348,166.54948466108888,9.9,11.31,0,8.33
Tennessee,2020-02-23T00:00:00Z,0,6867668,41235,0.16,0,9.493975903614459,10.555555555555555,6.714285714285714,166.54948466108888,9.9,11.31,0,8.33
Tennessee,2020-03-01T00:00:00Z,3,6867668,41235,0.16,0.04368295031151768,15.628919860627178,36.03636363636364,9.696682464454977,166.54948466108888,11.237142857142857,12.84,0,10.712857142857143
Tennessee,2020-03-08T00:00:00Z,94,6867668,41235,0.16,1.3687324430942205,10.041237113402062,41.08411214953271,8.674641148325358,166.54948466108888,17.931428571428572,20.49142857142857,0,21.56142857142857
Tennessee,2020-03-15T00:00:00Z,939,6867668,41235,0.16,13.672763447505034,-9.67005076142132,8.147826086956522,-3.602803738317757,166.54948466108888,34.449999999999996,38.098571428571425,8.928571428571429,46.29857142857143
Tennessee,2020-03-22T00:00:00Z,6621,6867668,41235,0.16,96.40827133751952,-26.296296296296298,11.738317757009346,-19.1858407079646,166.54948466108888,52.15571428571429,55.78,26.785714285714285,66.40285714285714
Tennessee,2020-03-29T00:00:00Z,18043,6867668,41235,0.16,262.72382415690447,-27.013468013468014,4.585585585585585,-24.903930131004365,166.54948466108888,62.79571428571429,62.84,62.5,76.98571428571428
Tennessee,2020-04-05T00:00:00Z,30857,6867668,41235,0.16,449.3082659208337,-31.62146892655367,4.477876106194691,-30.41304347826087,166.54948466108888,65.62,66.07,62.5,79.63
Tennessee,2020-04-12T00:00:00Z,42671,6867668,41235,0.16,621.3317242475904,-26.61846153846154,-11.968,-26.88888888888889,166.54948466108888,68.00285714285715,68.78999999999999,62.5,79.63
Tennessee,2020-04-19T00:00:00Z,57306,6867668,41235,0.16,834.4317168506107,-21.759375,-6.439024390243903,-24.31896551724138,166.54948466108888,69.79,70.83,62.5,79.63
Tennessee,2020-04-26T00:00:00Z,77869,6867668,41235,0.16,1133.8492192691901,-10.034810126582279,7.657657657657658,-15.616071428571429,166.54948466108888,66.59142857142857,67.17714285714285,62.5,73.94285714285714
